assetID,rarity,seasonYear,birthDate,bestFoot,firstName,lastName,shirtNumber
0x0400fc9780ff0d22645512f81ca3f34813fb3f97dab243d01f1cdf6eec5a81f4,limited,2022,1995-06-29,both,Andreas,Gruber,17
0x0400415f8c20447be823f519865d925c15b85ad4ec565e513cd5eb973a366306,limited,2022,1988-04-12,,Bo-Kyung,Choi,6
0x04000a54c2e8f530e7a8d0c56c7230459eaadd188d549f9282d4e5e1926bbb4d,limited,2022,1997-08-21,,Chi-In,Jeong,32
0x04003a99ec52c30445882910674b819b751020c1a641181dba5012d94e5cdc1e,limited,2022,1996-05-21,,Keun-Ho,Lee,18
0x04009b93c91655671a8c8661b50aebd2d67a0bfb3e5db2ce58f13029997dcf73,rare,2022,1999-03-13,,Kristian,Thorstvedt,42
0x04001ee6752d25002a53c1ce086cc4af110e3c3780c834f182908fcec87266c0,super_rare,2022,1990-03-15,right,Mamoutou,N'Diaye,6
0x040094841f57b90d1b9d4f870fe8e20247438f3f09032bd714bf8a4671297b5d,limited,2021,1992-01-09,right,Andreas,Voglsammer,21
0x0400e6d1a3a3458be119e277572b17cad0d8c0071278c2ac98d01a513ad9e516,limited,2021,2001-07-15,,Thijs,van Leeuwen,37
0x040031a23f85b84cac118fe95e48316cb5d1a4c6b40b40d3df30b638447ed370,limited,2022,1995-07-08,right,Yuta,Imazu,33
0x0400bca684bf4cfe47781132d08f3fe58d50339b85a519855ddd1932fb4ef868,limited,2022,2000-01-01,,Boško,Šutalo,4
0x040044b67b26af3a12518e4e663a00979e6fc45e2ecd8aa290d1477a4a125dd0,limited,2021,1995-05-10,right,Smail,Prevljak,9
0x0400d64760f6cccc008737f0fe7dda50c7d25b24f1f61794e7a37a1678c3b32d,rare,2022,1995-04-20,right,Karlo,Bartolec,2
0x0400c319813bb3d78d861fb665e64777d83da090881efa2953c50f3e10ce013f,limited,2022,1994-11-06,,Kengo,Nagai,25
