playerID,firstname,lastname,birthDate,heightCm,weightKg,nationality
140,Thomas,Vermaelen,1985-11-14,183,80,Belgium
15808,Tim,Sparv,1987-02-20,194,78,Finland
1220,Yuri,Zhirkov,1983-08-20,180,75,Russia
30791,Goran,Pandev,1983-07-27,184,75,North Macedonia
1805,Martin Josef,Hinteregger,1992-09-07,186,82,Austria
18930,Matěj,Vydra,1992-05-01,180,71,Czech Republic
827,Mário,Figueira Fernandes,1990-09-19,189,80,Russia
1223,Artem,Dzyuba,1988-08-22,196,91,Russia
53725,Yuri,Dyupin,1988-03-17,187,84,Russia
820,Michael,Krmenčík,1993-03-15,191,84,Czech Republic
98455,Daniel,Avramovski,1995-02-20,184,73,North Macedonia
55405,Lassi Roni Kasperi,Lappalainen,1998-08-24,183,76,Finland
40559,Kamil,Jóźwiak,1998-04-22,176,70,Poland
873,Federico,Bernardeschi,1994-02-16,185,77,Italy
331,Lorenzo,Insigne,1991-06-04,163,59,Italy
2928,Christian,Benteke Liolo,1990-12-03,190,83,Belgium
856,Giorgio,Chiellini,1984-08-14,187,85,Italy
46891,Robin,Lod,1993-04-17,181,82,Finland
417,Alessandro André,Schöpf,1994-02-07,178,74,Austria
51158,Ján,Greguš,1991-01-29,189,82,Slovakia
694,Marlos,Romero Bonfim,1988-06-07,174,77,Ukraine
18834,Andriy,Yarmolenko,1989-10-23,189,81,Ukraine
2861,Karl Gustav Johan,Svensson,1987-02-07,184,83,Sweden
2863,Bengt Erik Marcus,Berg,1986-08-17,184,75,Sweden
61204,Tihomir,Kostadinov,1996-03-04,179,75,North Macedonia
1483,Stefan,Ristovski,1992-02-12,181,73,North Macedonia
1317,Arijan,Ademi,1991-05-29,185,79,North Macedonia
14394,Luka,Ivanušec,1998-11-26,175,76,Croatia
2850,Karl-Johan Anton,Johnsson,1990-01-28,188,84,Sweden
