seasonID,seasonYear,startDate,endDate,leagueName,leagueType,leagueCountry
1,2020,2019-03-21,2021-07-11,Euro Championship,Cup,World
2,2009,2009-06-14,2009-06-28,Confederations Cup,Cup,World
3,2013,2013-06-15,2013-06-30,Confederations Cup,Cup,World
4,2017,2017-06-17,2017-07-02,Confederations Cup,Cup,World
5,2010,2010-08-07,2011-05-29,Ligue 1,League,France
6,2011,2011-08-06,2012-05-20,Ligue 1,League,France
7,2012,2012-08-10,2013-05-26,Ligue 1,League,France
8,2013,2013-08-09,2014-05-17,Ligue 1,League,France
9,2014,2014-08-08,2015-05-23,Ligue 1,League,France
10,2015,2015-08-07,2016-05-14,Ligue 1,League,France
11,2016,2016-08-12,2017-05-20,Ligue 1,League,France
12,2017,2017-08-04,2018-05-19,Ligue 1,League,France
13,2018,2018-08-10,2019-05-24,Ligue 1,League,France
14,2019,2019-08-09,2020-05-23,Ligue 1,League,France
15,2020,2020-08-21,2021-05-30,Ligue 1,League,France
16,2021,2021-08-06,2022-05-29,Ligue 1,League,France
17,2022,2022-08-05,2023-06-03,Ligue 1,League,France
18,2010,2010-07-30,2011-05-16,Jupiler Pro League,League,Belgium
19,2011,2011-07-29,2012-05-20,Jupiler Pro League,League,Belgium
20,2012,2012-07-28,2013-05-26,Jupiler Pro League,League,Belgium
21,2013,2013-07-26,2014-05-18,Jupiler Pro League,League,Belgium
22,2014,2014-07-25,2015-05-31,Jupiler Pro League,League,Belgium
23,2015,2015-07-24,2016-05-29,Jupiler Pro League,League,Belgium
24,2016,2016-07-29,2017-05-21,Jupiler Pro League,League,Belgium
25,2017,2017-07-28,2018-05-20,Jupiler Pro League,League,Belgium
26,2018,2018-07-27,2019-05-19,Jupiler Pro League,League,Belgium
27,2019,2019-07-26,2020-03-15,Jupiler Pro League,League,Belgium
28,2020,2020-08-08,2021-05-23,Jupiler Pro League,League,Belgium
29,2021,2021-07-23,2022-05-29,Jupiler Pro League,League,Belgium
30,2022,2022-07-22,2023-04-21,Jupiler Pro League,League,Belgium
31,2010,2010-05-08,2010-11-28,Serie A,League,Brazil
32,2011,2011-05-21,2011-12-04,Serie A,League,Brazil
33,2012,2012-05-19,2012-12-02,Serie A,League,Brazil
34,2013,2013-05-25,2013-12-08,Serie A,League,Brazil
35,2014,2014-04-19,2014-12-07,Serie A,League,Brazil
36,2015,2015-05-09,2015-12-06,Serie A,League,Brazil
37,2016,2016-05-14,2016-12-11,Serie A,League,Brazil
38,2017,2017-05-13,2017-12-03,Serie A,League,Brazil
39,2018,2018-04-14,2018-12-02,Serie A,League,Brazil
40,2019,2019-04-27,2019-12-08,Serie A,League,Brazil
41,2020,2020-08-08,2021-02-26,Serie A,League,Brazil
42,2021,2021-05-29,2021-12-10,Serie A,League,Brazil
43,2022,2022-04-10,2022-11-13,Serie A,League,Brazil
44,2010,2010-08-14,2011-05-17,Premier League,League,England
45,2011,2011-08-13,2012-05-13,Premier League,League,England
46,2012,2012-08-18,2013-05-19,Premier League,League,England
47,2013,2013-08-17,2014-05-11,Premier League,League,England
48,2014,2014-08-16,2015-05-24,Premier League,League,England
49,2015,2015-08-08,2016-05-17,Premier League,League,England
50,2016,2016-08-13,2017-05-21,Premier League,League,England
51,2017,2017-08-11,2018-05-13,Premier League,League,England
52,2018,2018-08-10,2019-05-12,Premier League,League,England
53,2019,2019-08-09,2020-07-26,Premier League,League,England
54,2020,2020-09-12,2021-05-23,Premier League,League,England
55,2021,2021-08-13,2022-05-22,Premier League,League,England
56,2022,2022-08-05,2023-05-28,Premier League,League,England
57,2010,2010-08-20,2011-05-14,Bundesliga,League,Germany
58,2011,2011-08-05,2012-05-05,Bundesliga,League,Germany
59,2012,2012-08-24,2013-05-18,Bundesliga,League,Germany
60,2013,2013-08-09,2014-05-10,Bundesliga,League,Germany
61,2014,2014-08-22,2015-05-23,Bundesliga,League,Germany
62,2015,2015-08-14,2016-05-14,Bundesliga,League,Germany
63,2016,2016-08-26,2017-05-20,Bundesliga,League,Germany
64,2017,2017-08-18,2018-05-12,Bundesliga,League,Germany
65,2018,2018-08-24,2019-05-27,Bundesliga,League,Germany
66,2019,2019-08-16,2020-07-06,Bundesliga,League,Germany
67,2020,2020-09-18,2021-05-29,Bundesliga,League,Germany
68,2021,2021-08-13,2022-05-23,Bundesliga,League,Germany
69,2022,2022-08-05,2023-05-27,Bundesliga,League,Germany
70,2010,2010-08-28,2011-05-22,Serie A,League,Italy
71,2011,2011-09-09,2012-05-13,Serie A,League,Italy
72,2012,2012-08-25,2013-05-19,Serie A,League,Italy
73,2013,2013-08-24,2014-05-18,Serie A,League,Italy
74,2014,2014-08-30,2015-05-31,Serie A,League,Italy
75,2015,2015-08-22,2016-05-15,Serie A,League,Italy
