playerID,seasonID,teamID,teamName,gamesAppearances,gamesLineups,gamesMinutes,gamesPosition,gamesCaptain,gamesRating,goalsTotal,goalsConceded,goalsAssists,goalsSaved,tacklesTotal,tacklesBlocks,tacklesInterceptions,foulsDrawn,foulsCommited,passesKey,passesTotal,passesAccuracy,duelsWon,duelsTotal,cardRed,cardYellow,cardYellowred,shotsTotal,shotsOn,dribblesAttempts,dribblesSuccess,dribblesPast,penaltyWon,penaltyCommited,penaltyScored,penaltyMissed,penaltySaved,substituesIn,substitutesOut,substitutesBench
140,1,1,Belgium,5,3,284,Defender,False,7.362500,0,0,,,5,5,3,2,3,1,432,76,17,20,0,1,0,3,1,2,2,,,,0,0,,2,0,2
15808,1,1099,Finland,2,2,135,Midfielder,False,6.888888,0,0,,,7,4,13,5,11,5,490,74,17,30,0,1,0,12,6,1,1,,,,0,0,,0,2,1
1220,1,4,Russia,1,1,43,Defender,False,6.633333,0,0,,,4,0,2,5,2,4,129,61,4,5,0,0,0,9,3,3,3,,,1,0,0,,0,1,0
30791,1,1105,FYR Macedonia,3,3,249,Attacker,False,6.966666,1,0,2,,5,0,0,31,5,19,213,57,26,69,0,0,0,16,8,27,18,,,,0,0,,0,1,0
1805,1,775,Austria,4,4,390,Defender,False,7.010000,0,0,,,10,4,12,7,6,1,508,74,28,47,0,1,0,8,3,8,5,,,,0,0,,0,0,0
18930,1,770,Czech Republic,3,0,35,Attacker,False,6.700000,0,0,,,1,0,1,3,0,1,17,39,7,10,0,0,0,1,0,2,2,,,,0,0,,3,0,5
827,1,4,Russia,3,3,206,Defender,False,6.990909,0,0,,,10,0,14,10,3,10,402,65,40,56,0,0,0,14,4,6,3,,,,0,0,,0,1,0
1223,1,4,Russia,3,3,265,Attacker,False,7.692307,1,0,6,,6,1,2,12,27,33,261,55,59,124,0,0,0,51,23,13,6,,,,2,1,,0,1,0
53725,1,4,Russia,0,0,0,Goalkeeper,False,,0,0,,,,,,,,,,,,,0,0,0,,,,,,,,0,0,0,0,0,3
820,1,770,Czech Republic,4,0,62,Attacker,False,6.450000,0,0,,,,0,0,1,3,1,20,27,,1,0,1,0,7,4,0,0,,,,0,0,,4,0,5
98455,1,1105,FYR Macedonia,1,0,13,Midfielder,False,6.750000,0,0,,,1,0,0,1,0,1,17,68,,,0,1,0,0,0,0,0,,,,0,0,,1,0,3
55405,1,1099,Finland,1,0,15,Midfielder,False,6.650000,0,0,1,,1,2,5,2,2,4,95,60,9,18,0,0,0,1,1,14,8,,,,0,0,,1,0,2
40559,1,24,Poland,3,3,241,Midfielder,False,6.633333,0,0,1,,1,0,1,3,4,4,58,34,7,20,0,1,0,0,0,4,2,,,,0,0,,0,1,0
873,1,768,Italy,4,1,127,Attacker,False,7.090000,0,0,1,,6,0,5,6,10,13,197,55,16,30,0,0,0,22,9,20,14,,,,0,0,,3,1,6
331,1,768,Italy,6,6,512,Attacker,False,7.533333,2,0,1,,1,0,1,4,0,10,277,72,6,22,0,1,0,24,11,11,3,,,,0,0,,0,6,1
2928,1,1,Belgium,1,0,6,Attacker,False,7.250000,0,0,,,1,0,0,2,1,3,22,58,,,0,0,0,8,6,1,1,,,,0,0,,1,0,5
856,1,768,Italy,5,5,444,Defender,False,7.120000,0,0,,,3,2,7,2,4,3,371,73,17,28,0,1,0,5,3,0,0,,,,0,0,,0,1,0
46891,1,1099,Finland,3,3,270,Midfielder,False,7.169230,0,0,3,,21,4,7,13,17,28,474,66,38,90,0,1,0,19,4,51,30,,,,0,0,,0,1,0
417,1,775,Austria,2,0,87,Midfielder,False,6.900000,0,0,,,,,,,1,3,32,28,,3,0,0,0,,,,,,,,0,0,,2,0,4
51158,1,773,Slovakia,1,0,0,Midfielder,False,6.775000,0,0,,,,1,3,2,0,0,57,55,3,4,0,0,0,0,0,1,1,,,,0,0,,1,0,3
694,1,772,Ukraine,2,0,73,Midfielder,False,6.983333,0,0,1,,5,0,2,3,3,5,188,63,6,18,0,0,0,3,1,8,4,,,,0,0,,2,1,5
18834,1,772,Ukraine,5,5,445,Midfielder,False,6.866666,2,0,,,3,0,1,8,6,6,163,61,8,16,0,1,0,9,3,12,5,,,,0,0,,0,2,0
2861,1,5,Sweden,1,0,2,Midfielder,False,6.571428,0,0,,,3,0,3,1,5,0,72,89,3,8,0,0,0,1,1,1,0,,,,0,0,,1,0,4
2863,1,5,Sweden,4,2,178,Attacker,False,7.000000,0,0,2,,6,1,1,19,24,16,166,58,38,92,0,0,0,19,11,8,5,,,,0,0,,2,2,2
61204,1,1105,FYR Macedonia,2,0,48,Midfielder,False,6.680000,0,0,,,4,0,6,6,4,4,72,41,1,8,0,1,0,2,0,2,1,,,,0,0,,2,0,3
1483,1,1105,FYR Macedonia,3,3,270,Defender,False,6.827272,0,0,,,18,3,24,10,8,5,348,64,38,65,0,1,0,3,0,9,4,,,,0,0,,0,0,0
1317,1,1105,FYR Macedonia,3,3,254,Midfielder,False,7.000000,0,0,1,,9,4,15,8,4,4,228,65,19,33,0,0,0,5,2,11,7,,,,0,0,,0,2,0
14394,1,3,Croatia,3,0,64,Midfielder,False,6.300000,0,0,,,,,1,,,,20,17,1,5,0,0,0,1,,3,1,,,,0,0,,3,0,4
2850,1,5,Sweden,0,0,0,Goalkeeper,False,,0,0,,,,,,,,,,,,,0,0,0,,,,,,,,0,0,0,0,0,4
1291,1,773,Slovakia,0,0,0,Defender,False,6.914285,0,0,1,,5,12,6,3,5,1,374,80,8,15,0,0,0,3,0,2,2,,,,0,0,,0,0,1
1287,1,21,Denmark,1,0,13,Defender,False,,0,0,,,,,,,,,,,,,0,0,0,,,,,,,,0,0,,1,0,2
133,1,2,France,1,1,46,Defender,False,7.214285,0,0,,,6,3,1,5,1,0,595,93,5,5,0,0,0,6,2,0,0,,,,0,0,,0,1,3
1284,1,5,Sweden,3,0,45,Defender,False,7.000000,0,0,1,,1,2,5,4,3,4,175,79,,,0,0,0,3,2,0,0,,,,0,0,,3,0,4
48039,1,5,Sweden,4,4,369,Defender,False,7.500000,0,0,1,,6,2,8,2,6,1,158,49,7,13,1,1,0,2,2,0,0,,,,0,0,,0,0,0
2933,1,10,England,0,0,0,Defender,False,7.540000,0,,3,,7,0,11,2,3,10,298,85,6,16,0,0,0,1,1,11,8,,,,0,0,,0,0,2
19545,1,10,England,1,1,90,Defender,False,,0,0,,,,,,,,,,,,,0,0,0,,,,,,,,0,0,,0,0,5
2290,1,2,France,4,4,390,Midfielder,False,7.316666,0,0,,,20,0,14,1,11,1,444,72,38,63,0,0,0,1,0,11,8,,,,0,0,,0,0,0
44929,1,1108,Scotland,0,0,0,Midfielder,False,,0,0,,,,,,,,,,,,,0,0,0,,,,,,,,0,0,,0,0,2
1127,1,1108,Scotland,1,0,11,Midfielder,False,6.933333,0,0,1,,6,0,2,5,5,15,165,65,14,27,0,0,0,10,5,24,14,,,,0,0,,1,0,3
19880,1,1108,Scotland,0,0,0,Goalkeeper,False,7.200000,0,0,,2,,0,0,0,0,0,6,66,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,3
1987,1,777,Turkey,0,0,0,Defender,False,,0,0,,,,,,,,,,,,,0,0,0,,,,,,,,0,0,,0,0,1
2854,1,5,Sweden,1,0,19,Defender,False,6.980000,0,0,1,,1,3,3,5,6,1,250,85,35,48,0,0,0,2,0,2,2,,,1,0,0,,1,0,4
19407,1,1108,Scotland,3,3,270,Goalkeeper,False,6.760000,0,19,,36,,0,0,0,0,1,222,41,2,2,0,0,0,0,0,1,1,,,,0,0,0,0,0,0
97896,1,1108,Scotland,3,0,21,Attacker,False,6.700000,0,0,,,,,,,1,,3,1,1,4,0,0,0,1,1,,,,,,0,0,,3,0,3
1113,1,5,Sweden,4,4,316,Defender,False,6.920000,0,0,1,,13,1,6,4,5,10,340,61,25,38,0,1,0,3,1,3,1,,,,0,0,,0,3,0
2859,1,5,Sweden,4,4,367,Midfielder,False,7.000000,0,0,2,,14,3,10,11,16,10,320,66,19,38,0,0,0,8,3,3,2,,,1,2,0,,0,1,0
542,1,1118,Netherlands,2,1,106,Midfielder,False,7.300000,0,0,,,3,1,5,,,1,95,40,7,11,0,0,0,2,,4,3,,,,0,0,,1,0,3
